Type,Name,Cottidae,Peprilus sp ,Sardinops sagax,Caulolatilus princeps,Chromis punctipinnis,Girella nigricans,Kyphosus analogus,Medialuna californiensis,Zooplankton,Sebastes auriculatus,Shrimp,Porichthys notatus,Scorpaenichthys marmoratus,Clupeiformes (anchovies herrings),Semicossyphus pulcher,Paralichthys californicus,squids,Jellyfish,Bivalves,Pugettia producta,Oxyjulis californica,Seriola lalandi,Hypsypops rubicundus,Scomber japonicus,Octopus sp ,Pleurancodes planipes,Synodus lucioceps,Sphyraena argentea,Rhinobatos productus,Cephaloscyllium ventriosum,Cancer magister,Mola mola,Prionace glauca,Atractoscion nobilis,Gymnothorax mordax,Embiotoca jacksoni,Rhacochilus toxotes,Rhacochilus vacca,crabs,Menticirrhus undulatus,Paralabrax clathratus,Polychaeta,Panulirus interruptus,Pteroplatytrygon violacea,Halichoeres semicinctus,Squatina californica,Callinectes bellicosus,Anomura,Cynoscion parvipinnis,Trachinotus paitensis,Trachinotus kennedyi,Balistes polylepis,Cheilotrema saturnum,Squalus acanthias,Cancer anthonyi,Heterodontus francisci,Brachyistius frenatus,Paralabrax nebulifer,Platyrhinoidis triseriata,Urolophus halleri,Triakis semifasciata,Anisotremus davidsoni,Myliobatis californica,Mycteroperca Epinephelus sp ,Eucinostomus spp ,Bodianus diplotaenia,Heterostichus rostratus,Centrostephanus coronatus,Sarda chiliensis,Hypsurus caryi,Loxorhynchus crispatus,Strongylocentrotus purpuratus,Strongylocentrotus franciscanus,Norrissia norrissii,Megastraea undosa,Bryozoan,Lopholithodes sp ,Parastichopus parvimensis,Scorpaena guttata,Stereolepis gigas,Phytoplankton,Haliotis fulgens,Haliotis corrugata,Echinodermata,Kelletia kelletii,Hinnites multirugosus,Megathura crenulata,Eucidaris thouarsii,Porifera,Other algae,Tegula sp ,Phyllospadix torreyi,Eisenia arborea,Cystoceira osmundacea,Microlepidotus inornatus,Anisotremus interruptus,Sphyrna sp ,Tursiops truncatus,Carcharhinus porosus,Calamus brachysomus,Phalacrocorax pelagicus,Pelecanus occidentalis,Larus occidentalis,Zalophus californianus,Phoca vitulina,Torpedo californica,Antennarius avalonis,Kathetostoma averruncus,Pristigenys serrula,Gymnura marmorata,Raja rhina,Zapteryx exasperata,Sphoeroides annulatus,Taliepus nuttallii,Alopias pelagicus,Caulolatilus affinis,Isurus oxyrinchus,Mustelus califomicus,Pontinus vaughani,Rhinoptera steindachneri
Fish,Cottidae,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fish,Peprilus sp ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fish,Sardinops sagax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4,0,0,0,4,0,0,0,0,4,4,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fish,Caulolatilus princeps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fish,Chromis punctipinnis,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fish,Girella nigricans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
Fish,Kyphosus analogus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
Fish,Medialuna californiensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arthropoda,Zooplankton,0,4,4,4,4,4,4,4,4,4,4,4,0,4,0,4,4,4,4,0,4,0,0,4,0,4,0,4,0,0,4,4,4,4,0,0,0,0,4,0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,4,0,4,4,0,0,0,0,0,0,4,4,0,0,0,0,4,0,4,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fish,Sebastes auriculatus,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
